,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
264,Fri Nov 12 21:41:09 +0000 2021,"What is this? It's a #globalloveattack
And who are we? We are the #armyOfLove of #agift4misha

Take a look @mishacollins
https://t.co/icohA3kCca",en,1636753269658,what is this it s a and who are we we are the of take a look ,take look
267,Sat Nov 13 01:17:10 +0000 2021,"@Newmoonflower99 @Roadfood123 @mishacollins @ithacamarket we r up in Jefferson Co, and make our own syrup etc. so many sugar bushes up and around these parts.",en,1636766230659, we r up in jefferson co and make our own syrup etc so many sugar bushes up and around these parts ,r jefferson co make syrup etc many sugar bush around part
268,Sat Nov 13 04:08:30 +0000 2021,@Roadfood123 @mishacollins Marshall Texas has a little place called Cafe Italia. Amazing food and incredibly nice staff. Went on the first date with my now husband to this restaurant.,en,1636776510664, marshall texas has a little place called cafe italia amazing food and incredibly nice staff went on the first date with my now husband to this restaurant ,marshall texas little place call cafe italia amaze food incredibly nice staff go first date husband restaurant
269,Sat Nov 13 08:22:16 +0000 2021,"@itsKatieJLester @ChadLindberg @mishacollins @sebroche He's one of the best human beings in this world. Talented actor and writer, does a lot of charity, he's inclusive and inspires people to be better. I love his humor and his jokes during the panels. There's nothing bad about Misha. Nothing.",en,1636791736661, he s one of the best human beings in this world talented actor and writer does a lot of charity he s inclusive and inspires people to be better i love his humor and his jokes during the panels there s nothing bad about misha nothing ,one best human be world talented actor writer lot charity inclusive inspire people better love humor joke panel nothing bad misha nothing
271,Sat Nov 13 14:49:29 +0000 2021,@Ottersnot1 @Roadfood123 @mishacollins As you should 😅 It so good!! I need to head back down there soon. It's been too long.,en,1636814969665, as you should it so good i need to head back down there soon it s been too long ,good need head back soon long
272,Sat Nov 13 15:29:44 +0000 2021,"@mishacollins @PBS @Roadfood123 @GoldPeak @Ally Come to Rochester, NY for a Garbage Plate at Nick Tahoes &amp; the best Italian dishes like stuffed Eggplant Vincenzo, named after my uncle Vinnie at Agatina's Restaurant. Cannot wait to see this new show and hope you will venture this far East to sample some unique dishes. Congrats!",en,1636817384664, come to rochester ny for a garbage plate at nick tahoes amp the best italian dishes like stuffed eggplant vincenzo named after my uncle vinnie at agatina s restaurant cannot wait to see this new show and hope you will venture this far east to sample some unique dishes congrats ,come rochester ny garbage plate nick tahoes amp best italian dish like stuff eggplant vincenzo name uncle vinnie agatina restaurant cannot wait see new show hope venture far east sample unique dish congrats
274,Sat Nov 13 20:50:01 +0000 2021,"Ep.295 — 14:8 — ""Byzantium""

next steps: wake and a 
bonfire, hunter-style 
Jack would have wanted

@mishacollins @JensenAckles @jarpad",en,1636836601661,ep 295 14 8 byzantium next steps wake and a bonfire hunter style jack would have wanted ,ep 295 14 8 byzantium next step wake bonfire hunter style jack would want
276,Sat Nov 13 21:38:10 +0000 2021,@mishadmiration @mishacollins *breathes in* MISHAAA,en,1636839490665, breathes in mishaaa,breathe mishaaa
277,Sat Nov 13 21:53:33 +0000 2021,@mishacollins ❤️❤️. One of my favourite guys. https://t.co/1khRqWqZhI,en,1636840413659, one of my favourite guys ,one favourite guy
279,Sun Nov 14 02:29:14 +0000 2021,"@budstiel @mishacollins If I get this, I'd stop dodging therapy",en,1636856954657, if i get this i d stop dodging therapy,get stop dodge therapy
284,Sun Nov 14 22:11:25 +0000 2021,misha collins tweet smth please. Let us know you are ALIVE!!!!! https://t.co/ikVIHpQWZP,en,1636927885659,misha collins tweet smth please let us know you are alive ,misha collins tweet smth please let us know alive
288,Mon Nov 15 19:03:12 +0000 2021,"@MariaSantocono @mishacollins @Mark_Sheppard 😁situation sucks,
too many ppl die, 
government and medics are like hit by stones in shock, idiots don't want to get vaccinated,
idiots die,
others die, some are running to get vaccinated but too late,
i'm trying to repair myself after virus for a year.
forced my family to vax",en,1637002992665, situation sucks too many ppl die government and medics are like hit by stones in shock idiots don t want to get vaccinated idiots die others die some are running to get vaccinated but too late i m trying to repair myself after virus for a year forced my family to vax,situation suck many ppl die government medics like hit stone shock idiots want get vaccinate idiots die others die run get vaccinate late try repair virus year force family vax
289,Mon Nov 15 22:17:44 +0000 2021,"@mishacollins Aw, Misha……bad dad jokes!",en,1637014664660, aw misha bad dad jokes ,aw misha bad dad joke
290,Mon Nov 15 22:19:04 +0000 2021,@mishacollins You always amaze me CrawDad,en,1637014744666, you always amaze me crawdad,always amaze crawdad
292,Mon Nov 15 22:21:16 +0000 2021,"Holy smokes, Mish! You're back and hot as f*ck! 🔥🔥🔥
#MishaCollins #MishaFuckingCollins",en,1637014876665,holy smokes mish you re back and hot as f ck ,holy smoke mish back hot f ck
293,Mon Nov 15 22:21:35 +0000 2021,@mishacollins You are LITERALLY chaos incarnate. https://t.co/6w42xrFej9,en,1637014895659, you are literally chaos incarnate ,literally chaos incarnate
294,Mon Nov 15 22:22:08 +0000 2021,@cheatedtides @mishacollins I was thinking Shelldon,en,1637014928663, i was thinking shelldon,think shelldon
